episode,return,steps
1,-470.0,200
2,-587.0,200
3,-524.0,200
4,-425.0,200
5,-569.0,200
6,-551.0,200
7,-515.0,200
8,-353.0,200
9,-398.0,200
10,-407.0,200
11,-470.0,200
12,-335.0,200
13,-324.0,183
14,-587.0,200
15,-560.0,200
16,-486.0,192
17,-236.0,200
18,-245.0,200
19,-254.0,200
20,-506.0,200
21,-560.0,200
22,-290.0,200
23,-335.0,200
24,-425.0,200
25,-281.0,200
26,-254.0,200
27,-281.0,200
28,-290.0,200
29,-263.0,200
30,-263.0,200
31,-515.0,200
32,-353.0,200
33,-91.0,85
34,-254.0,200
35,-227.0,200
36,-434.0,200
37,-569.0,200
38,-317.0,200
39,-308.0,200
40,-470.0,200
41,-290.0,200
42,-461.0,200
43,-236.0,200
44,-182.0,185
45,-380.0,200
46,-236.0,200
47,-317.0,200
48,-344.0,200
49,-452.0,200
50,-263.0,200
51,-332.0,128
52,-263.0,200
53,-227.0,200
54,-344.0,200
55,-371.0,200
56,-281.0,200
57,-227.0,200
58,-165.0,159
59,-236.0,200
60,-308.0,200
61,-254.0,200
62,-281.0,200
63,-140.0,134
64,-407.0,200
65,-245.0,200
66,-326.0,200
67,-290.0,200
68,-344.0,200
69,-236.0,200
70,-227.0,200
71,-35.0,38
72,-236.0,200
73,-236.0,200
74,-56.0,50
75,-223.0,163
76,-317.0,200
77,-190.0,157
78,-362.0,200
79,-290.0,200
80,-344.0,200
81,-335.0,200
82,-209.0,176
83,-272.0,200
84,-263.0,200
85,-353.0,200
86,-389.0,200
87,-368.0,173
88,-299.0,200
89,-227.0,200
90,-113.0,125
91,-84.0,69
92,-254.0,200
93,-254.0,200
94,-254.0,200
95,-371.0,200
96,-223.0,172
97,-184.0,160
98,-290.0,200
99,-290.0,200
100,-353.0,200
101,-308.0,200
102,-272.0,200
103,-317.0,200
104,-236.0,149
105,-407.0,200
106,-416.0,200
107,-181.0,130
108,-290.0,200
109,-105.0,72
110,-178.0,127
111,-254.0,200
112,-254.0,200
113,-254.0,200
114,-434.0,200
115,-254.0,200
116,-75.0,78
117,-326.0,200
118,-290.0,200
119,-65.0,50
120,-248.0,170
121,-326.0,200
122,-272.0,200
123,-218.0,200
124,-192.0,132
125,-263.0,200
126,-74.0,68
127,-263.0,200
128,-154.0,130
129,-254.0,200
130,-236.0,200
131,-2.0,14
132,-308.0,200
133,-281.0,200
134,-233.0,191
135,-245.0,200
136,-263.0,200
137,-245.0,200
138,-236.0,200
139,-281.0,200
140,-335.0,200
141,-218.0,200
142,-59.0,62
143,-264.0,186
144,-245.0,185
145,-254.0,200
146,-308.0,200
147,-140.0,125
148,-227.0,200
149,-143.0,155
150,-76.0,70
151,-371.0,200
152,-200.0,122
153,-299.0,200
154,-245.0,200
155,-209.0,176
156,-317.0,200
157,-290.0,200
158,-165.0,141
159,-153.0,156
160,-263.0,200
161,-308.0,200
162,-144.0,120
163,-105.0,90
164,-281.0,200
165,-281.0,200
166,-299.0,200
167,9.0,12
168,-173.0,149
169,-245.0,200
170,-236.0,200
171,-371.0,200
172,-344.0,200
173,-269.0,191
174,-272.0,200
175,-254.0,200
176,-131.0,107
177,-281.0,200
178,-95.0,89
179,-263.0,200
180,-221.0,170
181,-108.0,111
182,-263.0,200
183,-121.0,97
184,-85.0,97
185,-317.0,200
186,-236.0,200
187,-250.0,163
188,-275.0,170
189,-204.0,180
190,-362.0,200
191,-108.0,102
192,-188.0,164
193,-335.0,200
194,-218.0,176
195,-89.0,83
196,-177.0,135
197,-111.0,87
198,-245.0,200
199,-245.0,140
200,-132.0,126
201,-96.0,99
202,-308.0,200
203,-103.0,79
204,-425.0,200
205,-254.0,200
206,-253.0,193
207,-263.0,200
208,-308.0,200
209,-273.0,150
210,-344.0,200
211,-212.0,179
212,-40.0,43
213,-106.0,55
214,-103.0,79
215,-19.0,31
216,-272.0,200
217,-263.0,200
218,-308.0,200
219,-86.0,89
220,-283.0,178
221,-99.0,111
222,-83.0,86
223,7.0,14
224,-102.0,96
225,-245.0,167
226,-265.0,142
227,-335.0,200
228,-236.0,200
229,-272.0,200
230,-197.0,146
231,-284.0,161
232,-100.0,94
233,-68.0,80
234,-308.0,200
235,-44.0,47
236,-259.0,181
237,-308.0,200
238,-222.0,162
239,-220.0,160
240,-23.0,26
241,-290.0,200
242,-129.0,96
243,-201.0,150
244,-37.0,58
245,-171.0,165
246,-265.0,187
247,-31.0,52
248,-100.0,103
249,-54.0,66
250,-254.0,200
251,-67.0,61
252,-199.0,130
253,-135.0,93
