episode,return,steps
1,-470.0,200
2,-587.0,200
3,-524.0,200
4,-425.0,200
5,-569.0,200
6,-551.0,200
7,-515.0,200
8,-353.0,200
9,-398.0,200
10,-407.0,200
11,-470.0,200
12,-335.0,200
13,-324.0,183
14,-587.0,200
15,-560.0,200
16,-486.0,192
17,-236.0,200
18,-245.0,200
19,-254.0,200
20,-506.0,200
21,-560.0,200
22,-290.0,200
23,-353.0,200
24,-425.0,200
25,-299.0,200
26,-254.0,200
27,-281.0,200
28,-290.0,200
29,-263.0,200
30,-263.0,200
31,-515.0,200
32,-353.0,200
33,-137.0,131
34,-254.0,200
35,-218.0,200
36,-389.0,200
37,-605.0,200
38,-326.0,200
39,-290.0,200
40,-587.0,200
41,-263.0,200
42,-425.0,200
43,-236.0,200
44,-335.0,200
45,-335.0,200
46,-263.0,200
47,-221.0,134
48,-425.0,200
49,-335.0,200
50,-263.0,200
51,-290.0,200
52,-254.0,200
53,-254.0,200
54,-326.0,200
55,-317.0,200
56,-226.0,112
57,-272.0,200
58,-281.0,200
59,-236.0,200
60,-335.0,200
61,-290.0,200
62,-139.0,133
63,-326.0,200
64,-317.0,200
65,-299.0,200
66,-331.0,190
67,-308.0,200
68,-263.0,200
69,-308.0,200
70,-61.0,55
71,-236.0,200
72,-245.0,200
73,-245.0,200
74,-317.0,200
75,-389.0,200
76,-177.0,144
77,-227.0,200
78,-308.0,200
79,-335.0,200
80,-281.0,200
81,-362.0,200
82,-118.0,103
83,-344.0,200
84,-135.0,111
85,-247.0,178
86,-272.0,200
87,-380.0,200
88,-317.0,200
89,-227.0,200
90,-254.0,200
91,-245.0,200
92,-254.0,200
93,-263.0,200
94,-263.0,200
95,-389.0,200
96,-281.0,200
97,-308.0,200
98,-245.0,200
99,-398.0,200
100,-290.0,200
101,-272.0,200
102,-434.0,200
103,-281.0,200
104,-290.0,200
105,-308.0,200
106,-299.0,200
107,-299.0,200
108,-245.0,200
109,-245.0,200
110,-79.0,64
111,-139.0,124
112,-344.0,200
113,-299.0,200
114,-335.0,200
115,-281.0,200
116,-362.0,200
117,-344.0,200
118,-299.0,200
119,-335.0,200
120,-362.0,200
121,-326.0,200
122,-216.0,156
123,-308.0,200
124,-299.0,200
125,-308.0,200
126,-308.0,200
127,-326.0,200
128,-17.0,29
129,-254.0,200
130,-60.0,63
131,-353.0,200
132,-254.0,200
133,-263.0,200
134,-344.0,200
135,-272.0,200
136,-254.0,200
137,-245.0,200
138,-272.0,200
139,-317.0,200
140,-203.0,170
141,-263.0,200
142,-254.0,200
143,-187.0,118
144,-236.0,200
145,-353.0,200
146,-272.0,200
147,-407.0,200
148,-245.0,200
149,-263.0,200
150,-317.0,200
151,-317.0,200
152,-254.0,200
153,-245.0,200
154,-299.0,200
155,-272.0,200
156,-263.0,200
157,-236.0,200
158,-263.0,200
159,-245.0,200
160,-281.0,200
161,-272.0,200
162,-281.0,200
163,-290.0,200
164,-308.0,200
165,-281.0,200
166,-317.0,200
167,-308.0,200
168,-389.0,200
169,-272.0,200
170,-281.0,200
171,-78.0,90
172,-281.0,200
173,-263.0,200
174,-362.0,200
175,-317.0,200
176,-317.0,200
177,-236.0,200
178,-389.0,200
179,-263.0,200
180,-263.0,200
181,-134.0,119
182,-272.0,185
183,-425.0,200
184,-101.0,95
185,-299.0,200
186,-335.0,200
187,-195.0,180
188,-272.0,200
189,-290.0,200
190,-353.0,200
191,-290.0,200
192,-344.0,200
193,-308.0,200
194,-290.0,200
195,-181.0,157
196,-290.0,200
197,-335.0,200
198,-192.0,177
199,-236.0,200
200,-236.0,200
201,-272.0,200
202,-317.0,200
203,-281.0,200
204,-290.0,200
205,-317.0,200
206,-317.0,200
207,-236.0,200
208,-272.0,200
209,-344.0,200
210,-299.0,200
211,-371.0,200
212,-290.0,200
213,-263.0,200
214,-272.0,200
215,-344.0,200
216,-308.0,200
217,-308.0,200
218,-272.0,200
219,-127.0,139
220,-380.0,200
221,-263.0,200
222,-207.0,183
223,-362.0,200
224,-25.0,37
225,-227.0,200
226,-245.0,200
227,-254.0,200
228,-290.0,200
229,-299.0,200
230,-254.0,200
231,-263.0,200
232,-281.0,200
233,-290.0,200
234,-16.0,28
235,-299.0,200
236,-281.0,200
237,-335.0,200
238,-299.0,200
239,-281.0,200
240,-326.0,200
241,-201.0,186
242,-272.0,200
243,-263.0,200
244,-281.0,200
245,-281.0,194
246,-254.0,200
247,-308.0,200
248,-263.0,200
249,-317.0,200
250,-236.0,200
251,-236.0,200
252,-281.0,200
253,-254.0,200
