episode,return,steps
1,-560.0,200
2,-614.0,200
3,-569.0,200
4,-506.0,200
5,-578.0,200
6,-551.0,200
7,-560.0,200
8,-362.0,200
9,-434.0,200
10,-443.0,200
11,-470.0,200
12,-299.0,200
13,-398.0,200
14,-587.0,200
15,-587.0,200
16,-197.0,74
17,-353.0,200
18,-344.0,200
19,-380.0,200
20,-461.0,200
21,-542.0,200
22,-407.0,200
23,-344.0,200
24,-470.0,200
25,-344.0,200
26,-443.0,200
27,-353.0,200
28,-335.0,200
29,-335.0,200
30,-299.0,200
31,-614.0,200
32,-290.0,200
33,-278.0,200
34,-273.0,168
35,-290.0,200
36,-335.0,200
37,-524.0,200
38,-389.0,200
39,-335.0,200
40,-605.0,200
41,-308.0,200
42,-434.0,200
43,-326.0,200
44,-299.0,200
45,-407.0,200
46,-322.0,163
47,-266.0,152
48,-317.0,200
49,-425.0,200
50,-309.0,186
51,-317.0,200
52,-385.0,199
53,-108.0,75
54,-333.0,192
55,-320.0,107
56,-353.0,200
57,-335.0,200
58,-299.0,200
59,-299.0,200
60,-371.0,200
61,-290.0,200
62,-335.0,200
63,-353.0,200
64,-353.0,200
65,-344.0,200
66,-317.0,200
67,-254.0,200
68,-326.0,200
69,-362.0,200
70,-326.0,200
71,-198.0,129
72,-326.0,200
73,-335.0,200
74,-333.0,183
75,-106.0,73
76,-371.0,200
77,-353.0,200
78,-61.0,55
79,-272.0,200
80,-362.0,200
81,-173.0,113
82,-398.0,200
83,-371.0,200
84,-299.0,200
85,-389.0,200
86,-257.0,170
87,-488.0,200
88,-308.0,200
89,-299.0,200
90,-52.0,37
91,-326.0,200
92,-353.0,200
93,-317.0,200
94,-326.0,200
95,-353.0,200
96,-69.0,54
97,-15.0,27
98,-335.0,200
99,-380.0,200
100,-259.0,190
101,-326.0,200
102,-244.0,184
103,-272.0,200
104,-353.0,200
105,-253.0,148
106,-380.0,200
107,-317.0,200
108,-317.0,200
109,-187.0,109
110,-290.0,200
111,-350.0,200
112,-215.0,182
113,-281.0,167
114,-326.0,200
115,-308.0,200
116,-35.0,38
117,-380.0,200
118,-210.0,132
119,-190.0,130
120,-416.0,200
